ID,text,label
601,Is suicide the best remedy?,Suicide
602,I did not ask for any assistance at first but later and sought for assistance and it helped me in a good way,Suicide
603,"I feel confused, how can  I overcome the problem?",Depression
604,How do I resist peer pressure?,Drugs
605,I was just tired,Suicide
606,Where can i get money to be drinking daily?,Alcohol
607,Why is it so hard to stop being a weed addict?,Drugs
608, I feel very low and at times ,Depression
609,Why am I alive?,Suicide
610,Life is just hard,Depression
611,What should I do to stop alcoholism?,Alcohol
612,How to become my oldself again,Suicide
613,How can someone stop it?,Alcohol
614,I feel unworthy ,Depression
615,I feel so discouraged with life,Depression
